trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
271,False,"{'a': 0.5, 'e': 0.48450421173456026}",25,0,-134.34002629883003,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
272,False,"{'a': 0.5, 'e': 0.48104989524562164}",35,0,-7.280644940195674,"{0: 31, 1: 2, 2: 0, 3: 2, 4: 0}",0
273,False,"{'a': 0.5, 'e': 0.4775880942832944}",25,0,-41.49130235966702,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
274,False,"{'a': 0.5, 'e': 0.4741188627084308}",20,0,-28.25034817401869,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
275,False,"{'a': 0.5, 'e': 0.4706422544974929}",25,0,-30.863011120033473,"{0: 18, 1: 6, 2: 0, 3: 1, 4: 0}",0
276,False,"{'a': 0.5, 'e': 0.4671583237417128}",20,0,-38.117584737404506,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
277,False,"{'a': 0.5, 'e': 0.46366712464625176}",20,15,-5.176584130844599,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.4601687115293558}",25,16,1.4829620755243733,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.4566631388215117}",25,13,-16.690788786613663,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
280,False,"{'a': 0.5, 'e': 0.45315046106459966}",20,8,-64.83401020381697,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
281,False,"{'a': 0.5, 'e': 0.449630732911044}",20,0,-37.015028405868,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
282,False,"{'a': 0.5, 'e': 0.4461040091229641}",20,0,-8.640212890093569,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
283,False,"{'a': 0.5, 'e': 0.44257034457132177}",25,6,-21.05980648210887,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.439029794235067}",25,2,16.228673212855853,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.43548241320028375}",20,5,-38.78532626086276,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
286,False,"{'a': 0.5, 'e': 0.4319282566593316}",25,0,-78.2403248141951,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
287,False,"{'a': 0.5, 'e': 0.4283673799099882}",25,7,-73.16290175922641,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
